question1	question2	is_duplicate
여자친구가 데이트 시간을 너무 안 지켜.	여자친구가 데이트 시간을 너무 안 지켜.	0
집앞에서 첫사랑 만남	집앞에서 첫사랑 만남	0
어이가 없네	어이상실	0
전화 안 받으니까 초조해져	전화 안 받는 이유가 뭘까	0
연인인데 정치견해가 달라	연인인데 정치적인 견해가 달라	0
이 좀 여유롭게 살고 싶다	여유롭게 살고 싶어	0
냄새날 것 같아 걱정이야	냄새나면 어쩌지	0
혼자 있는 시간이 정말 힘드네	혼자가 되고	1
자연이 넘 예뻐	폭우가 쏟아져서 비 맛았어	1
선풍기 틀어도 더워	선풍기만으로 안 되는 더위	0
어장인건가	어장인건가	0
남자친구가 좋은데 신뢰가 안 생겨.	남자친구가 좋은데 믿지 못하겠어.	0
어느새 헤어진지 한달	어떤 날도, 어떤 말도	1
아부쟁이가 부러워	아부 잘 하는 사람 부럽기도 해	0
짝사랑은 짝사랑으로 남는게 좋은 걸까요.	짝사랑은 짝사랑으로 남는게 좋은 걸까요.	0
새벽에 카톡이 왔네.	생각을 고쳐 먹었습니다	1
다시 썸 타는 방법	덜 좋아하는게 답인 것 같아.	1
제정신이 아닌거 같아	조금씩 아물어가는건가 이별의 상처	1
짝사랑은 힘든 거 같아	짝사랑은 힘든 거 같아	0
너무 좋아하면 남자친구가 부담스러워 할까?	좋아하는거 티내면 남자친구가 부담스러워 할까?	0
가까운 곳으로 나들이 갈까	바람 쐬러 어디 근교로 나갈까	0
재회후 또 이별	저는 이별하면 남자만 힘든 줄 알았어요.	1
미세먼지 지수 뭐야?	미세먼지 나쁨인가	0
강아지 키우고 싶은데 역시 안돼겠지	강아지 키울 수 있을까	0
기숙사 사는거 어떨까?	기숙사 살면 불편해?	0
효율적으로 시간 보내는 방법	하루를 효율적으로 보내고 싶어	0
드디어 전세방 구했어	오늘 전세 계약했어. 	0
노후 걱정 벌써 해야하나?	노후 걱정 벌써 해야하나?	0
이제 한달 됐네	오늘로 한달됐어	0
다 허무하다	다 필요없어	0
그녀를 떠나보내야 하나?	그녀에게 받았던 선물들을 모조리 다 버리려 합니다.	1
여친집에 찾아가고 싶은데 어떠하죠?	연락 안되서 헤어졌는데 또 연락 기다리고 있네	1
집에 먼지가 너무 많아	청소를 안 했더니 먼지 쌓였어	0
여자친구와 첫키스는 언제했어?	여자친구와 첫키스는 언제했어?	0
누가 날 좋아하는 걸 알면 어떤 생각이 들어?	누가 날 좋아하는 걸 알면 어떤 생각이 들어?	0
남자는 좋아하는 여자랑 눈 마주치면 어떻게 해?	남자들은 좋아하는 여자가 자기보다 능력이 좋은 경우에 아무리 좋아해도 마음 접고 포기하나요?	1
좀 만 덜 게을렀으면	초조한데 잘 안되네	1
전남친 집앞	전남친한테 한달만에 연락하고싶어 ㅠㅠ	1
무기력한 것일뿐	무기력해	0
정열적인 사랑 하고 싶어	정열적인 사랑을 하고 싶어	0
편의점 알바 면접 간다	카페 알바 면접 간다	1
보험 많이 들었어	보험 많이 든 거 같애	0
짱 추워	오늘 왤케 추워	0
이제 봄인가봐	봄인가봐	0
휴대폰 중독인 것같아	핸드폰 중독인듯	0
게임 때문에 폰이 점점 느려지는듯	폰게임 때매 폰 느려지는듯	0
오늘 헤어짐을 말하려 합니다	오늘도 술 몇 잔 마시니 생각나네요.	1
이제는 놓아줄꺼라 생각하지만	이제는 정말 끝	1
좋아하는 애랑 만나서 놀건데 뭐 먹는게 좋을까?	좋아하는 애랑 만나서 놀건데 뭐 먹는게 좋을까?	0
이건 이별을 준비해야 하는건가??	이게 잠수이별인가???	1
커피 볶는 시간	커피콩 볶고 있어	0
헤어진지 두달 무덤덤한데	헤어진지 삼일째입니다	1
워터파크에서 마지막 즐기러 갈 준비	여름에는 워터파크 한 번 가줘야 할 것 같아	0
마음이 아픈 것도 몸 아픈 거랑 똑같구나	맘 아프고 힘들어	0
카톡을 탈퇴했나봐.	코 앞이 재회.	1
꽃다발 샀어	꽃다발 준비했어	0
아직 내감정 잘 모르겠는데 유지하는 게 좋을까	내 감정도 헷갈리는데 어떻게 하는게 좋을까	0
좋아하는 여자 생겼으면 좋겠다.	좋아하는 애한테 하고 싶은 말이 뭐야?	1
행복한 인생 돌싱남	행여 잃을까봐 꼭 쥐고 있어야 하는건 내 것이 아닙니다.	1
결국 이렇게 헤어졌어	결국엔 바람난거였네	1
사랑이 싹 트고 있어	조금씩 마음 속에 사랑이 싹 트고 있어	0
갑자기 훅 힘들어져	많이 힘드네	0
그냥 선 볼까?	선 볼까?	0
뭐부터 바꿔야 할까	뭘 바꿔야 할까	0
넘어져서 발목 삔 거 같애	발목 삔 거 같애	0
새로운 시작을 하는 전여친. 너무 힘들어.	4년 만난 여자와 이별한지 5개월 다되어가네.	1
영화같은 사랑 하고 싶어	영화같은 사랑 하고 싶어	0
부치지 못한 편지	붙잡고 싶습니다.	1
다시 찾아온 이별	다시 헤어진 직후로 돌아간거같아	1
마음을 보여 주고 싶어.	마음이 보였으면 좋겠어	0
사전뜻이 이상해	사전이 이상해	0
엄마한테 혼났어	엄마랑 싸웠어	0
마음에 안 차는데 만나도 돼?	완전 좋은 건 아닌데 만나도 돼?	0
나도 이제 아재인가	재미 없어.	1
썸남 생겼는데 프사 뭐할까?	썸남 생겼는데 프로필 사진 뭐할까?	0
만난지 200일됐어	우리 드디어 만난지 200일 됐어	0
나 쉬운 사람이라고 생각하면 어쩌지?	나 쉬운 여자 아니야	0
이별 중독	이별 한달 반째	1
내가 좋아할 자격이 있나 모르겠어.	내가 좋아할 자격이 있나.	0
책 보는데 글자만 들어와	책보는데 글자만 봤어	0
운동하면 뭐 하나	운동해도 살이 안 빠져	0
행복하게 살텐데 왜 나는 못잊겠지	거짓말은 진짜 못고치는 병 맞죠?	1
사랑 고민	사랑 고민 말해도 되나요?	0
한달이 넘었네	한달 지났네	0
회 먹으러 가야겠다.	회 먹어야지	0
썸 탈 때 예민한 부분 말해?	썸 탈 때 민감한 문제 말해?	0
슬퍼.	슬픔이 더 커지는 아침이네	0
중국어 혼자 공부 가능한가?	지금 생각하고 있는건 망상 일뿐입니다	1
우린 운명이었어	우린 운명이었어	0
층간소음에 살인 난다더니.	층간소음 때문에 왜 살인이 나는지 알 거 같애	0
